state,median_permitting_timeline_days,num_records,data_source,technology,year
California,5,1724,OHM 2024,storage,2024
Colorado,,,,storage,
Connecticut,,,,storage,
Delaware,,,,storage,
Florida,19,5,OHM 2024,storage,2024
Georgia,,,,storage,
Hawaii,,,,storage,
Idaho,,,,storage,
Illinois,,,,storage,
Indiana,,,,storage,
Mississippi,,,,storage,
Iowa,13,6,OHM 2024,solar_storage,2024
Kansas,7,9,OHM 2024,solar_storage,2024
Kentucky,0,16,OHM 2024,solar_storage,2024
Louisiana,10,64,OHM 2024,solar_storage,2024
Maine,3.5,8,OHM 2024,solar_storage,2024
Maryland,4,223,OHM 2024,solar_storage,2024
Massachusetts,8,550,OHM 2024,solar_storage,2024
Michigan,10,133,OHM 2024,solar_storage,2024
Minnesota,4,8,OHM 2024,solar_storage,2024
Missouri,11,42,OHM 2024,solar_storage,2024
Montana,0,9,OHM 2024,solar_storage,2024
Nebraska,18,2,OHM 2024,solar_storage,2024
Nevada,9,355,OHM 2024,solar_storage,2024
New Hampshire,5,29,OHM 2024,solar_storage,2024
New Jersey,12,65,OHM 2024,solar_storage,2024
New Mexico,3,21,OHM 2024,solar_storage,2024
New York,1,71,OHM 2024,solar_storage,2024
North Carolina,3,1273,OHM 2024,solar_storage,2024
North Dakota,0,2,OHM 2024,solar_storage,2024
Ohio,6,27,OHM 2024,solar_storage,2024
Oklahoma,9,24,OHM 2024,solar_storage,2024
Oregon,0,465,OHM 2024,solar_storage,2024
Pennsylvania,7.5,28,OHM 2024,solar_storage,2024
Puerto Rico,1,37935,OHM 2024,solar_storage,2024
Rhode Island,8.5,16,OHM 2024,solar_storage,2024
South Carolina,7,87,OHM 2024,solar_storage,2024
South Dakota,1,1,OHM 2023,solar_storage,2023
Tennessee,3,5,OHM 2024,solar_storage,2024
Texas,3,2304,OHM 2024,solar_storage,2024
Utah,9,333,OHM 2024,solar_storage,2024
Vermont,2,16,OHM 2024,solar_storage,2024
Virginia,6,235,OHM 2024,solar_storage,2024
Washington,0,438,OHM 2024,solar_storage,2024
Wisconsin,1,16,OHM 2024,solar_storage,2024
Wyoming,8,6,OHM 2024,solar_storage,2024
Alabama,27,1,OHM 2024,solar_storage,2024
Arizona,39,2743,OHM 2024,solar_storage,2024
Arkansas,0.5,8,OHM 2024,solar_storage,2024
California,3,59950,OHM 2024,solar_storage,2024
Colorado,7,1076,OHM 2024,solar_storage,2024
Connecticut,5,190,OHM 2024,solar_storage,2024
Delaware,10,2,OHM 2024,solar_storage,2024
Florida,9,1196,OHM 2024,solar_storage,2024
Georgia,6,70,OHM 2024,solar_storage,2024
Hawaii,0,7350,OHM 2024,solar_storage,2024
Idaho,0,324,OHM 2024,solar_storage,2024
Illinois,6,385,OHM 2024,solar_storage,2024
Indiana,6,16,OHM 2024,solar_storage,2024
Mississippi,,,,solar_storage,
